nome;morada;postal;localidade;lat;lng;codigo;
Escola Básica de Santana, Viana do Castelo;Santana  ;4935 - 513 neiva;Neiva;41.631443;-8.774257;1609021;
Escola Básica de Sante, Gondomar;Rua da Louseira, Cx. Postal 126  ;4515 - 288 lomba gdm;Sante;41.037857;-8.41678;1304244;
Escola Básica de Santegãos, Gondomar;Rua das Escolas Novas  ;4435 - 000 rio tinto;Santegãos;41.193317;-8.56758;1304011;
Escola Básica de Santiago de Piães, Cinfães;Casal Seco  ;4690 - 000 cinfães;Santiago de Piães;41.068653;-8.152418;1804730;
Escola Básica de Santiago, Custóias, Matosinhos;R. da Escola  ;4460 - 692 custóias mts;Custóias;41.198498;-8.63794;1308983;
Escola Básica de Santiago, Paços de Ferreira;Rua das Escolas Novas, 55  ;4590 - 462 modelos;Santiago;41.252586;-8.37994;1309275;
Escola Básica de Santo António, Lousada;Santo António  ;4620 - 092 casais lsd;Casais;41.26703;-8.312982;1305178;
Escola Básica de Santo António, Ossela, Oliveira de Azeméis;Avenida Serafim Ferreira de Paiva, nº 206  ;3720 - 190 ossela;Ossela;40.8286;-8.433276;113836;
Escola Básica de Santo António, Rio Meão, Santa Maria da Feira;Rua das Escolas, n.º 6  ;4520 - 477 rio meão;Rio Meão;40.957333;-8.578298;109535;
Escola Básica de Santo Estevão, Chaves;Bairro do Prado  ;5400 - 750 santo estevão chv;Santo Estevão;41.761707;-7.421306;1703857;
Escola Básica de Santo Ovídeo, Fafe;R. Fiéis de Deus  ;4820 - 371 passos faf;Fafe;41.450733;-8.18102;307401;
Escola Básica de Santo Tirso;Av. Sousa Cruz  ;4780 - 365 santo tirso;Santo Tirso;41.345776;-8.476134;1314011;
Escola Básica de Santo de António, Escapães, Santa Maria da Feira;Rua Dr. Domingos Coelho  ;4520 - 028 escapães;Escapães;40.921272;-8.515979;109522;
Escola Básica de Santo, Fafe;Av. das Forças Armadas  ;4820 - 119 fafe;Fafe;41.448933;-8.172535;307603;
Escola Básica de Santão, Felgueiras;Rua do Poder Local 124 ;4615 - 463 santão;Santão;41.313763;-8.168708;296259;
Escola Básica de Sapugal, Fradelos,Vila Nova de Famalicão;Fradelos  ;4760 - 220 vila nova de famalicão;Souto;41.379086;-8.60184;312922;
Escola Básica de Sardão, Oliveira do Douro, Vila Nova de Gaia;R. do Lameiro  ;4430 - 444 vila nova de gaia;Oliveira do Douro;41.11478;-8.589947;1317752;
Escola Básica de Searinha, Marco de Canaveses;R. Associacao Cultural e Desportiva, 52  ;4630 - 145 marco de canaveses;Searinha - Freixo;41.158432;-8.146492;1307553;
