nome;lat;lng;link
Câmara Municipal de Angra do Heroismo;38.65000;-27.10000;http://portalnacional.com.pt/entidade/camara-municipal-de-angra-do-heroismo-54/
Câmara Municipal de Ansião;39.96121;-8.42839;http://portalnacional.com.pt/entidade/camara-municipal-de-ansiao-55/
Câmara Municipal de Arcos de Valdevez;41.91676;-8.43422;http://portalnacional.com.pt/entidade/camara-municipal-de-arcos-de-valdevez-56/
Câmara Municipal de Arganil;40.18422;-7.94785;http://portalnacional.com.pt/entidade/camara-municipal-de-arganil-57/
Câmara Municipal de Armamar;41.12284;-7.66482;http://portalnacional.com.pt/entidade/camara-municipal-de-armamar-58/
Câmara Municipal de Arouca;40.92419;-8.30434;http://portalnacional.com.pt/entidade/camara-municipal-de-arouca-59/
Câmara Municipal de Arraiolos;38.83114;-7.83997;http://portalnacional.com.pt/entidade/camara-municipal-de-arraiolos-60/
Câmara Municipal de Arronches;39.17459;-7.31035;http://portalnacional.com.pt/entidade/camara-municipal-de-arronches-61/
Câmara Municipal de Arruda dos Vinhos;38.94155;-9.10361;http://portalnacional.com.pt/entidade/camara-municipal-de-arruda-dos-vinhos-62/
Câmara Municipal de Aveiro;40.60770;-8.59137;http://portalnacional.com.pt/entidade/camara-municipal-de-aveiro-63/
Câmara Municipal de Avis;39.17057;-7.86832;http://portalnacional.com.pt/entidade/camara-municipal-de-avis-64/
Câmara Municipal de Baião;41.17149;-7.96300;http://portalnacional.com.pt/entidade/camara-municipal-de-baiao-65/
Câmara Municipal de Barcelos;41.55825;-8.66177;http://portalnacional.com.pt/entidade/camara-municipal-de-barcelos-66/
Câmara Municipal de Barrancos;38.13154;-6.97819;http://portalnacional.com.pt/entidade/camara-municipal-de-barrancos-67/
Câmara Municipal de Beja;37.88472;-7.89441;http://portalnacional.com.pt/entidade/camara-municipal-de-beja-68/
Câmara Municipal de Belmonte;40.37074;-7.25483;http://portalnacional.com.pt/entidade/camara-municipal-de-belmonte-69/
Câmara Municipal de Benavente;38.85971;-8.74461;http://portalnacional.com.pt/entidade/camara-municipal-de-benavente-70/
Câmara Municipal de Borba;38.77206;-7.50465;http://portalnacional.com.pt/entidade/camara-municipal-de-borba-71/
Câmara Municipal de Boticas;41.66786;-7.73815;http://portalnacional.com.pt/entidade/camara-municipal-de-boticas-72/
Câmara Municipal de Braga;41.57840;-8.45227;http://portalnacional.com.pt/entidade/camara-municipal-de-braga-73/
Câmara Municipal de Bragança;41.74895;-6.92086;http://portalnacional.com.pt/entidade/camara-municipal-de-braganca-74/
Câmara Municipal de Cabeceiras de Basto;41.56238;-7.85449;http://portalnacional.com.pt/entidade/camara-municipal-de-cabeceiras-de-basto-75/
Câmara Municipal de Caldas de Vizela;41.36665;-8.26744;http://portalnacional.com.pt/entidade/camara-municipal-de-caldas-de-vizela-76/
Câmara Municipal de Câmara de Lobos;32.65000;-17.01667;http://portalnacional.com.pt/entidade/camara-municipal-de-camara-de-lobos-77/
Câmara Municipal de Caminha;41.79725;-8.83742;http://portalnacional.com.pt/entidade/camara-municipal-de-caminha-78/
Câmara Municipal de Campo Maior;39.06207;-7.12016;http://portalnacional.com.pt/entidade/camara-municipal-de-campo-maior-79/
Câmara Municipal de Cantanhede;40.41734;-8.65871;http://portalnacional.com.pt/entidade/camara-municipal-de-cantanhede-80/
Câmara Municipal de Carrazeda de Ansiães;41.28082;-7.30092;http://portalnacional.com.pt/entidade/camara-municipal-de-carrazeda-de-ansiaes-81/
Câmara Municipal de Carregal do Sal;40.45927;-8.02598;http://portalnacional.com.pt/entidade/camara-municipal-de-carregal-do-sal-82/
Câmara Municipal de Cascais;38.69728;-9.42176;http://portalnacional.com.pt/entidade/camara-municipal-de-cascais-83/
Câmara Municipal de Castanheira de Pêra;40.06437;-8.17771;http://portalnacional.com.pt/entidade/camara-municipal-de-castanheira-de-pera-84/
Câmara Municipal de Castelo Branco;39.94775;-7.53364;http://portalnacional.com.pt/entidade/camara-municipal-de-castelo-branco-85/
Câmara Municipal de Castelo de Paiva;41.06828;-8.28990;http://portalnacional.com.pt/entidade/camara-municipal-de-castelo-de-paiva-86/
Câmara Municipal de Castelo de Vide;39.51030;-7.51861;http://portalnacional.com.pt/entidade/camara-municipal-de-castelo-de-vide-87/
Câmara Municipal de Castro Daire;40.79682;-7.81910;http://portalnacional.com.pt/entidade/camara-municipal-de-castro-daire-88/
Câmara Municipal de Castro Marim;37.33431;-7.48774;http://portalnacional.com.pt/entidade/camara-municipal-de-castro-marim-89/
Câmara Municipal de Castro Verde;37.70751;-7.94026;http://portalnacional.com.pt/entidade/camara-municipal-de-castro-verde-90/
Câmara Municipal de Celorico da Beira;40.62691;-7.43776;http://portalnacional.com.pt/entidade/camara-municipal-de-celorico-da-beira-91/
