nome;morada;postal;localidade;lat;lng;codigo
Escola Básica de Monte - Santa Eulália, Vizela;Monte, Santa Eulália  ;4620 - 541 santa eulália viz;Santa Eulália;41.353165;-8.286347;1305825
Escola Básica de Monte Largo, Guimarães;Rua D. Maria  ;4800 - 000 guimarães;Monte Largo;41.45627;-8.276987;308888
Escola Básica de Monte Ramalhão, Guifões, Matosinhos;Rua Monte Ramalhão  ;4460 - 063 guifões;Guifões;41.202377;-8.66601;1308889
Escola Básica de Monte das Cruzes, Milheirós, Maia;R. das Escolas  ;4475 - 339 maia;Milheirós;41.21801;-8.588793;1306380
Escola Básica de Monte de Sines, Lousada;Monte Sines - Covas  ;4620 - 111 covas lsd;Almedinha;41.285805;-8.320532;1305479
Escola Básica de Monte do Calvário, Nogueira, Maia;R. Prof Laurinda Dias da Silva  ;4475 - 469 maia;Nogueira;41.23636;-8.58618;1306349
Escola Básica de Monte, Arões - Santa Cristina, Fafe;Avenida Fonte da Cruz (CM 1578)  ;4820 - 640 arões (santa cristina);Monte;41.44017;-8.220843;307040
Escola Básica de Monte, Capela, Penafiel;Capela  ;4575 - 000 entre-os-rios;Capela;41.100105;-8.351807;1311617
Escola Básica de Monte, Gulpilhares, Vila Nova de Gaia;Rua Escola do Monte  ;4405 - 637 vila nova de gaia;Monte--- Gulpilhares;41.076756;-8.620834;1317016
Escola Básica de Monte, Paramos, Espinho;Rua do Monte  ;4500 - 529 espinho;Paramos;40.978825;-8.629414;107871
Escola Básica de Monte, São Félix da Marinha, Vila Nova de Gaia;R. S. Félix da Marinha - Granja  ;4405 - 407 s. félix da marinha;S. Félix da Marinha;41.034622;-8.630956;1317021
Escola Básica de Monte, Touguinhó, Vila do Conde;R. Central  ;4480 - 561 touguinhó;Touguinhó;41.38053;-8.703237;1316310
Escola Básica de Monte, Viana do Castelo;Lg de Monte  ;4900 - 193 mazarefes;Mazarefes;41.679447;-8.769173;1609545
Escola Básica de Montebello, Porto;Rua Alcântara  ;4350 - 280 porto;Porto;41.171215;-8.584459;1312594
Escola Básica de Montedor, Viana do Castelo;Montedor - Carreço - Viana do Castelo  ;4900 - 045 viana do castelo;Montedor;41.74934;-8.86419;1609335
Escola Básica de Montelongo, Fafe;Parque da Cidade - Apartado 324  ;4820 - 000 fafe;FAFE;41.455284;-8.177645;307258
Escola Básica de Montes da Costa, Ermesinde, Valongo;R. Humberto Delgado  ;4445 - 450 ermesinde;Ermesinde;41.210884;-8.533937;1315985
Escola Básica de Montezelo, Gondomar;Rua de Montezelo  ;4510 - 609 fânzeres;Montezelo;41.16872;-8.529875;1304914
Escola Básica de Montinho, Regilde, Felgueiras;Montinho - Regilde - Felgueiras  ;4815 - 621 regilde;Regilde;41.366344;-8.265435;1303792
Escola Básica de Morais, Macedo de Cavaleiros;Morais  ;5340 - 351 morais;Morais;41.490818;-6.7816277;405116
Escola Básica de Moreira de Cima, Amarante;Moreira de Cima  ;4605 - 456 travanca amt;Travanca;41.273525;-8.193222;1301870
Escola Básica de Moreira de Rei, Fafe;Feira  ;4820 - 533 moreira do rei;Moreira do Rei;41.480225;-8.115879;307224
Escola Básica de Moreira, Agra, Lousada;Lugar da Agra  ;4620 - 701 sousela;Sousela;41.302536;-8.324241;1305655
Escola Básica de Moreira, Melres, Gondomar;Rua Senhora da Piedade   ;4515 - 588 melres;Melres;41.056065;-8.39182;1304699
Escola Básica de Morreira, Braga;Lg do Assento  ;4700 - 665 morreira;Morreira;41.494465;-8.407379;303893
Escola Básica de Mosteiro e Cávado, Panóias, Braga;Rua da Veiguinha  ;4700 - 760 panoias brg;Panóias;41.578274;-8.464819;303817
Escola Básica de Mosteiro, Assento, Penafiel;Lug. Assento  ;4560 - 387 paço de sousa;Paço de Sousa;41.166206;-8.346868;1311228
Escola Básica de Mosteiro, Guimarães;Mosteiro  ;4800 - 874 são torcato;Mosteiro;41.479637;-8.2613325;308659
Escola Básica de Mosteiró, Vila do Conde;Rua Central,  1040  ;4485 - 620 mindelo;Mosteiró;41.28043;-8.664197;1316285
Escola Básica de Mosteirô, Santa Maria da Feira;Rua das escolas n º 129  ;4525 - 118 canedo vfr;Mosteirô;41.040413;-8.448183;109918
Escola Básica de Mosteirô, Santa Maria da Feira;Rua Dom Florentino Andrade e Silva 831 ;4520 - 000 santa maria da feira;Santa Maria da Feira;40.896774;-8.52557;296235
Escola Básica de Motelo, Guimarães;Motelo  ;4810 - 136 fermentões;Fermentões;41.458;-8.314004;308697
Escola Básica de Moure e Ribeira do Neiva, Ribeira, Vila Verde;Lugar da Ribeira  ;4730 - 303 moure vvd;Moure;41.640884;-8.4811;313135
Escola Básica de Moure, Barcelos;Lugar do Assento  ;4755 - 355 moure bcl;Assento;41.500023;-8.55626;302414
Escola Básica de Mourinho, Lousada;Aveleda  ;4620 - 023 aveleda lsd;Mourinho;41.27887;-8.248603;1305668
Escola Básica de Mouriz, Paredes;Rua Central do Bairro  ;4580 - 584 mouriz;Mouriz;41.20973;-8.351669;1310002
Escola Básica de Moutidos, Águas Santas, Maia;Rua dos Moutidos  ;4425 - 143 maia;Águas Santas;41.211697;-8.570999;1306303
Escola Básica de Mujães, Viana do Castelo;Rua Monsenhor Ribeiro Torres  ;4905 - 512 mujães;Mujães;41.65663;-8.711802;1609098
Escola Básica de Muro, Rebordosa, Paredes;Rua Joaquim Ferreira Seabra  ;4585 - 532 rebordosa;Rebordosa;41.211708;-8.41512;1310745
Escola Básica de Murraceses de Cima, Grijó, Vila Nova de Gaia;R. da Carriça - Murraceses  ;4415 - 555 grijó vng;Grijó;41.030586;-8.565109;1317093
Escola Básica de Murça;Avenida dos Bombeiros Voluntários de Murça  ;5090 - 112 murça;Murça;41.403053;-7.450624;94694
Escola Básica de Mós, Lousada;Mós - Silvares  ;4620 - 000 lousada;Lousada;41.294373;-8.280312;1305696
Escola Básica de Mões, Mões de Cima, Vila Nova de Famalicão;Rua do Pinheirinho, 106  ;4760 - 084 vila nova de famalicão;Mões de Cima - Famalicão;41.41832;-8.520346;312985
Escola Básica de Navais, Póvoa de Varzim;Rua de Perlades nº 103  ;4495 - 221 navais;Navais;41.42694;-8.765208;1313040
Escola Básica de Navarra, Braga;Cortinhal-Navarra  ;4710 - 670 navarra;Cortinhal;41.60347;-8.381978;303458
Escola Básica de Negreiros, Barcelos;Igreja - Negreiros  ;4775 - 000 nine;Igreja;41.43384;-8.614759;302858
Escola Básica de Nespereira, Cinfães;Rua de Trás  ;4690 - 363 nespereira cnf;Nespereira;41.000053;-8.181253;36277
Escola Básica de Nespereira, Guimarães;Rua Visconde Do Paço  ;4810 - 730 pinheiro gmr;Nespereira;41.408825;-8.323848;308305
Escola Básica de Nine, Vila Nova de Famalicão;Avenida de Santo António  ;4775 - 447 nine;Nine;41.464634;-8.545422;312312
Escola Básica de Noeda, Porto;Largo de Noeda - Campanhã  ;4300 - 352 porto;Porto;41.145798;-8.58289;1312413
Escola Básica de Nogueira da Silva, Braga;Bairro Nogueira da Silva  ;4710 - 253 são josé de são lázaro;São José de São Lázaro;41.53592;-8.418258;303997
Escola Básica de Nogueira, Braga;Rua Quinta da Barra  ;4715 - 227 braga;Nogueira Braga;41.528435;-8.412082;303801
Escola Básica de Nogueiró, Braga;Avenida da Liberdade  ;4715 - 387 braga;Nogueiró;41.551056;-8.38864;303148
Escola Básica de Nossa Senhora da Conceição, Fermentões, Guimarães;Nª Sra. da  Conceição - Fermentões  ;4810 - 000 creixomil - salgueiral;Guimarães;41.448208;-8.304831;308346
Escola Básica de Nossa Senhora da Saúde, Laúndos, Póvoa de Varzim;Avenida N.ª Sra. da Saúde  ;4570 - 313 laúndos;Laúndos;41.43479;-8.718844;1313017
Escola Básica de Nossa Senhora de Campanhã, Porto;R. Sra. de Campanhã  ;4350 - 322 porto;Porto;41.165535;-8.574449;1312780
Escola Básica de Nova Sintra, Póvoa de Varzim;Bairro Nova Sintra  ;4490 - 168 póvoa de varzim;Póvoa de Varzim;41.380272;-8.752331;1313412
Escola Básica de Nova, Póvoa de Varzim;R. Dr. Leonardo Coimbra  ;4490 - 621 póvoa de varzim;Póvoa de Varzim;41.384697;-8.75952;1313231
Escola Básica de Oleiros, Vila Verde;Rua da Escola  ;4730 - 327 oleiros vvd;Paúl;41.61427;-8.4936905;313766
Escola Básica de Olival, Santo Tirso;Lugar Olival  ;4795 - 418 são mamede negrelos;São Mamede Negrelos;41.347404;-8.34828;1314516
Escola Básica de Oliveira - São Mateus, Vila Nova de Famalicão;Rua Dr. Vidal Pinheiro, n.º 435  ;4765 - 726 oliveira (são mateus);Oliveira S. Mateus;41.390015;-8.407656;312403
Escola Básica de Oliveira - São Pedro, Braga;Rua do Marco  ;4705 - 627 são pedro oliveira;Assento;41.479996;-8.471891;303038
Escola Básica de Oliveira de Reguengo,Castelo de Paiva;Oliveira Reguengo- Sardoura  ;4550 - 754 santa maria de sardoura;Sta Maria de Sardoura;41.067177;-8.296411;106495
