nome;morada;postal;localidade;lat;lng;codigo
A Torre dos Pequeninos - Creche e Jardim de Infância Unipessoal Lda.;R. Marechal Humberto Delgado  ;4780 - 039 areias sts;Areias;41.35598;-8.482083;1314589
A.P.P.A.C.D.M. do Porto;Travessa da Costibela, nº 85  ;4100 - 186 porto;Aldoar;41.171978;-8.6687765;1312086
AMAI - Jardim de Infância;Av. Duarte Madeira Arrais, nº 8  ;3620 - 338 moimenta da beira;Moimenta da Beira;40.987537;-7.618849;1807481
ANCORENSIS - "Cooperativa de Ensino";R. Alexandre Herculano, 212  ;4910 - 457 vila praia de âncora;Vila Praia de Ancora;41.80965;-8.854862;1602658
APACI - Centro de Ensino Especial;Lugar de Rainho  ;4750 - 541 lijó;Lijó;41.571705;-8.605558;302275
APADIMP - Associação de Pais e Amigos de Diminuídos Mentais;Qta de Milhundos - Apartado 139  ;4560 - 682 penafiel;Penafiel;41.20619;-8.270656;1311760
APPACDM - Centro Educacional de Gaia;Rua da Rasa, nº 510  ;4400 - 268 vila nova de gaia;Vila Nova de Gaia;41.11809;-8.610958;1317715
APPACDM Centro Dr. Leonardo Coimbra;R. Dr. Leonardo Coimbra  ;4465 - 189 são mamede de infesta;S. Mamede de Infesta;41.200203;-8.60289;1308046
APPACDM Centro Educacional do Porto;R. Tenente Valadim, 157  ;4100 - 479 porto;Porto;41.161526;-8.640758;1312499
APPACDM de Viana do Castelo;Av. Além do Rio - 222  ;4900 - 580 viana do castelo;Areosa;41.721527;-8.858778;1609859
APPC - Núcleo Regional de Vila Real;Av. Osnabruck  ;5000 - 427 vila real;Vila Real;41.30166;-7.732256;1714013
APPDA - Norte;Rua D. Carlos I, nº 110  ;4430 - 258 vila nova de gaia;Vila Nova de Gaia;41.109753;-8.600331;1317361
ATA - Associação de Trabalhadores da ACO;Avenida Padre António Ferreira, 599  ;4770 - 350 mogege;Mogege;41.4208;-8.399249;312532
Abrigo Infantil "Nossa Sra. das Candeias";R. Antero de Quental, nº  194 -  ;4050 - 052 porto;Porto;41.15983;-8.611683;1312005
Academia Contemporânea do Espectáculo;Praça Coronel Pacheco, nº 1  ;4050 - 453 porto;Porto;41.151264;-8.615393;1312739
Academia Musical de Vilar do Paraíso;Rua Camilo Castelo Branco, nº 20  ;4405 - 847 vila nova de gaia;Vilar do Paraíso;41.09251;-8.618844;1317009
Academia de Artes de Chaves;Largo da Estação - Centro Cultural de Chaves  ;5400 - 000 chaves;Santa Maria Maior;41.74618;-7.46866;1703044
Academia de Ensino Particular, Lda;Travessa Portocarreiro, n.º 39 -Esqd.  ;4445 - 567 ermesinde;Ermesinde;41.21157;-8.555792;1315805
Academia de Música Fernandes Fão;Centro Cultural e Social de Vila Praia de Âncora  ;4910 - 431 vila praia de âncora;Vila Praia de Âncora;41.814396;-8.861568;1602049
Academia de Música S. Pio X;Avenida Júlio Graça, nº 580 - Centro Municipal de Juventude  ;4480 - 672 vila do conde;Vila do Conde;41.352905;-8.748432;1316923
Academia de Música Valentim Moreira de Sá;Largo da Condessa de Juncal  ;4800 - 159 guimarães;Guimarães;41.44191;-8.294771;308741
Academia de Música da Associação de Cultura Musical de Lousada;Av. Cidade de Errenteria - Quinta das Pocinhas  ;4620 - 674 lousada;Silvares;41.278347;-8.282538;1305314
Academia de Música da Sociedade Filarmónica Vizelense;Avenida Bombeiros Voluntários, 415  ;4815 - 394 vizela;Caldas de Vizela ;41.37578;-8.312206;314439
Academia de Música de Arouca;Av. 25 de Abril, nº 27  ;4540 - 102 arouca;Arouca;40.92814;-8.249896;104976
Academia de Música de Basto;Rua 5 de Outubro - Edif. Dr. Castro Leal  ;4890 - 000 celorico de basto;Celorico de Basto;41.38806;-8.001317;305262
Academia de Música de Castelo de Paiva;Rua Emídio Navarro, Nº 102  ;4550 - 126 castelo de paiva;Sobrado - Castelo de Paiva;41.039948;-8.274665;106849
Academia de Música de Costa Cabral;Rua Costa Cabral, 877  ;4200 - 225 porto;Porto;41.167686;-8.593161;1312121
Academia de Música de Espinho;Rua 34, nº 884  ;4500 - 318 espinho;Espinho;41.00525;-8.632698;107570
Academia de Música de José Atalaya;Rua Serpa Pinto, 30  ;4820 - 285 fafe;Fafe;41.451015;-8.175046;307713
Academia de Música de Oliveira de Azeméis;Av. António José de Almeida nº 249  ;3720 - 239 oliveira de azeméis;Oliveira de Azeméis;40.83775;-8.477452;113521
Academia de Música de Paredes;Rua Dr. José Magalhães  ;4580 - 133 paredes;Paredes;41.207726;-8.330706;1310820
Academia de Música de Paços de Brandão;Rua Entre Avenidas, nº 125/129 - Apartado 107  ;4536 - 906 paços de brandão;Paços de Brandão;40.972015;-8.589047;109058
Academia de Música de S. João da Madeira;Rua Visconde  ;3700 - 269 são joão da madeira;S. João da Madeira;40.8937;-8.490545;116583
Academia de Música de Santa Maria;Rua Conde de Figó  ;4520 - 181 santa maria da feira;Santa Maria da Feira;40.923767;-8.545075;109031
Academia de Música de Vale de Cambra, CRL;Rua da Feira  ;3730 - 000 vale de cambra;S. Pedro de Castelões;40.84491;-8.393649;119231
Academia de Música de Viana do Castelo;Travessa do Salgueiro, nº 14 e 16  ;4900 - 323 viana do castelo;Viana do Castelo;41.69189;-8.829805;524270
Academia de Música e Artes de Vila Nova de Famalicão;Av. Marechal Humberto Delgado, 515, Apartado 65  ;4760 - 012 vila nova de famalicão;Vila Nova de Famalicão;41.408073;-8.517023;312539
Ass. Para o Desenvol. Social Vale D`Este - "Engenho";Rua Doutor Alcino Pinto, n.º 2 - Santa Maria Arnoso  ;4770 - 522 santa maria arnoso;SANTA MARIA ARNOSO;41.468;-8.492013;312218
Associação "A Escolinha - Infantário e Jardim de Infância, IPSS";Rua Fernão Mendes Pinto, n.º 133  ;4150 - 321 porto;Porto;41.157158;-8.671339;1312009
Associação Baptista Ágape;R. das Austrálias, nº 60  ;4450 - 056 matosinhos;Matosinhos;41.18186;-8.673765;1308650
Associação Cultural e Recreativa de Fornelos;Rua da Panelada - Fornelos  ;4820 - 422 fornelos faf;Lugar de Panelada;41.468575;-8.171645;307210
Associação Infantário e Jardim Infantil " O Pintinhas";R. Dr. Antonio Carlos Guedes, Bl 6 R/c - Bairro de Alvoraçães  ;5100 - 178 lamego;Lamego;41.103657;-7.810312;1805352
Associação Infantário e Jardim de Infância Carolina Michaelis;Rua Barão de Forester, n.º 954  ;4050 - 274 porto;Porto;41.159836;-8.620688;1312577
Associação Juvenil "A Bogalha";R. Álvaro Dória, n.º 33 - S. Victor  ;4710 - 350 braga;Braga;41.560307;-8.4046;303268
Associação Moradores das Antas;Praça das Flores, nº 59  ;4300 - 401 porto;Porto;41.155327;-8.591535;1312139
Associação Nova Aurora na Reabilitação e Reintegração Psicossocial - ANARP;Rua Coronel Almeida Valente, 280 / 282  ;4200 - 030 porto;Paranhos;41.176033;-8.610508;1312589
Associação Nuno Alvares de Campanhã;R. do Falcão, nº 555  ;4300 - 182 porto;Campanhã;41.157578;-8.575818;1312635
Associação O Baguinho;Largo de Santo António  ;5050 - 000 peso da régua;Peso da Régua;41.167515;-7.788583;1708580
Associação Pais e Amigos do Infantário e Jardim de Infância Dr.Leonardo Coimbra Filho;Rua de Serralves, n.º 805  ;4150 - 708 porto;Porto;41.15888;-8.654528;1312114
Associação Portuguesa de Pais e Amigos do Cidadão Deficiente;R Madre Deus 227  ;4430 - 138 vila nova de gaia;Vilar Andorinho;41.093464;-8.593858;1317474
Associação Portuguesa de Pais e Amigos do Cidadão Deficiente Mental;Bairro Maria de Fátima  ;5060 - 320 sabrosa;Sabrosa;41.26884;-7.5808454;1710186
Associação Portuguesa de Pais e Amigos do Cidadão Deficiente Mental da Trofa;Rua S. João Bosco nº 141
  ;4785 - 357 valdeirigo;Valdeirigo;41.33386;-8.553404;1318798
Associação Portuguesa de Pais e Amigos do Cidadão Deficiente Mental de Braga - APPACDM;Rua de S. Lázaro, nº 38 Apartado 10  ;4711 - 912 braga;Braga;41.548306;-8.422104;303505
Associação Reformados de Lordelo;Rua PadreJoão Paiva, n.º 15 - Campo da Bola  ;4815 - 250 lordelo gmr;Lordelo;41.37177;-8.368122;308299
Associação Soc. e Cult. de Sanfins do Douro;Largo dos Bombeiros  ;5070 - 358 sanfins do douro;Sanfins do Douro;41.295616;-7.51708;1701212
Associação Social Recreativa Juventude de Vila Fonche;Rua Professor Dr. José Sebastião da Silva Dias, loja 74  ;4970 - 747 arcos de valdevez;Arcos de Valdevez;41.847927;-8.42281;1601321
Associação da Creche de Braga;R. do Raio nº 235  ;4710 - 000 padim da graça;S. Lázaro -Braga;41.5496;-8.419763;303752
Associação das Escola Torne e do Prado;Rua dos Polacos, 174  ;4430 - 003 vila nova de gaia;Vila Nova de Gaia;41.136402;-8.606756;1317252
Associação de Ludotecas de Vila Nova de Famalicão;Avenida Marechal Humberto Delgado, n.º 515-499 - Antas  ;4760 - 012 vila nova de famalicão;Antas;41.407543;-8.516843;312056
Associação de Pais do Infantário da Escola Prep. de Canelas;Rua Professor César Morais  ;4410 - 247 canelas vng;Canelas;41.077534;-8.603532;1317968
Associação de Pais para a Educação de Crianças Deficientes Auditivas - APECDA;R. da Quinta - Mazagão-Aveleda  ;4711 - 912 braga;Braga;41.52523;-8.456034;303827
Associação de S. José;R. Tenente Coronel Dias Pereira, 31  ;4700 - 445 braga;Braga;41.55353;-8.431501;303212
Associação de Solidariedade Humanitária de Monte Córdova;Rua da Asoociação, n.º 105  ;4825 - 284 santo tirso;Monte Córdova;41.317905;-8.436634;1314027
Associação de Solidariedade Social "O Amanhã da Criança";Rua D. Afonso Henriques, nº  1916  ;4425 - 057 maia;Águas Santas;41.19707;-8.575325;1306254
Associação de Solidariedade Social Mouta - Azenha Nova - ASMAN Jardim de Infância 1;Rua Heróis do Ultramar s/n - Lugar da Azenha  ;4470 - 057 maia;Gueifães;41.209682;-8.607839;1306241
Associação de Solidariedade Social Mouta Azenha Nova - ASMAN Jardim de Infância 2;Rua Aristides de Sousa Mendes  ;4470 - 057 maia;Gueifães;41.218372;-8.604719;1306890
Associação do Infantário de S. Tome de Negrelos;Avenida da Mourinha, nº 66  ;4795 - 549 são tomé negrelos;S. Tome de Negrelos;41.344734;-8.402304;1314416
Associação do Infantário de Vila Real;R. 31 de Janeiro, nº 62  ;5000 - 603 vila real;Vila Real;41.29866;-7.74387;1714451
Associação do Infantário de Vila das Aves;Quintão - Vila das Aves  ;4795 - 141 aves;Quintão;41.368458;-8.403875;1314780
Associação para o Desenvolvimento Integral de Barrosas - Jardim de Infância;Rua Vilar e Samarim  ;4650 - 149 idães;Idães;41.32729;-8.262645;1303614
Ballet Teatro Contemporâneo do Porto - Escola Profissional;Rua Infante D. Henrique, nº 30  ;4050 - 296 porto;Porto;41.14136;-8.614079;1312050
Bem me Quer - Instituição de Solidariedade de Delães;Avenida da Cerqueda 191  ;4765 - 607 delães;Delães;41.38514;-8.40813;312441
CEBES - Centro de Estudos Básicos e Secundários;Rua Marcechal Gomes da Costa, 1051  ;4150 - 272 porto;Foz do Douro-Porto;41.15729;-8.66638;1312111
CERCIAZ- Coop. Educ. Reab. Criaças Inadaptadas;Lações de Cima - Apartado 90  ;3720 - 000 oliveira de azeméis;Oliveira de Azemeis;40.850307;-8.464671;113764
CERCIFAF - Cooperativa Educ. Reabilitação de Crianças Inadaptadas;Rua 9 de Dezembro, 99 - Monte S. Jorge  ;4820 - 161 fafe;Fafe;41.440815;-8.182792;307246
CERCIFEIRA Coop. Ed. Reab. Cri. Inadaptadas;Rua Dr. Santos Carneiro, nº 4    ;4520 - 000 santa maria da feira;Feira;40.924213;-8.540303;109910
CERCIFEL Coop. Educ. Reab. Cri. Inadaptadas;Av. Dr. Magalhães Lemos  ;4610 - 106 felgueiras;Felgueiras;41.37086;-8.203231;1303131
CERCIGAIA Coop. Educ. Reab. Cri. Inadaptadas;Rua Escola de São Paio, 211  ;4400 - 000 vila nova de gaia;Canidelo;41.13619;-8.643963;1317262
CERCIGUI Coop. Educ. Reab. Cri. Inadaptadas;R. Raúl Brandão, 195  ;4810 - 282 guimarães;Guimarães;41.444397;-8.285108;308699
CERCILAMAS Coop. Ed. Reab. Cri. Inadaptadas;Rua do Auditório, Apartado 70  ;4535 - 130 lourosa;Santa Mª de Lamas;40.983242;-8.576697;109752
CERCIMARANTE Coop. Educ. Cri. Inadaptadas;Rua de Guimarães  ;4600 - 000 amarante;Amarante;41.278545;-8.08537;1301693
CLIP - Colégio Luso-Internacional do Porto;Rua de Vila Nova, 1071  ;4100 - 506 porto;Aldoar;41.17338;-8.670987;1312985
Casa Madalena de Canossa;R. da Bandeirinha 27  ;4050 - 088 porto;Porto;41.14458;-8.622251;1312368
Casa Nª Senhora da Conceição -A.T.N.P.;R. Conde de Vilas Boas, nº 126 - Cedofeita  ;4250 - 495 porto;Porto;41.16488;-8.621787;1312189
Casa de Benef. Dias Machado e Pat. I.Coração Maria;Rua do Calvário, n.º 16  ;4795 - 458 são martinho campo;S. Martinho do Campo;41.356876;-8.365692;1314043
Casa do Pessoal do Hosp. Dist. de V. N. Famalicão;R. Amadeu Mesquita nº 156  ;4760 - 119 vila nova de famalicão;Vila Nova de Famalicão;41.41316;-8.523503;312828
Casa do Povo de Alvito;Rua da Aldeia, n.º 229 - Alvito de S. Pedro  ;4750 - 084 alvito (são pedro);Alvito;41.601494;-8.589426;302671
Casa do Povo de Peroselo;Lugar do Calvário  ;4560 - 750 perozelo;Peroselo;41.150047;-8.263758;1311988
Cento Soc. da Paroquia de S. Pedro de Lomar;Rua da Residência, 1  ;4705 - 248 braga;Lomar;41.529312;-8.427887;303214
Centro Animação de Infância de Vermoim - Santa Casa da Misericórdia da Maia;R. Central do Sobreiro-Bairro do Sobreiro  ;4470 - 000 maia;Vermoim;41.236706;-8.617916;1306222
Centro Cultura e Desp. dos Trab. do CRSSP do Porto;R. de Stª Catarina, nº 1447  ;4000 - 458 porto;Porto;41.159;-8.604575;1312575
Centro Cultural de Amarante - Maria Amélia Laranjeira - Escola de Música e Dança;Rua Nova, nº112  ;4600 - 093 amarante;São Gonçalo, Amarante;41.271935;-8.078618;1301461
Centro Educativo de Stº António;Rua do Melo, n.º 6  ;4050 - 372 porto;Porto;41.157948;-8.616221;1312651
Centro Infantil "Abrigo dos Pequeninos";Pç. da Alegria, n.º 8 A  ;4050 - 021 porto;Porto;41.143394;-8.60039;1312209
Centro Infantil Associação de Bem-Estar Stª Mª de Lamas;R. Eleito Local, nº 150  ;4535 - 359 santa maria de lamas;Santa Maria de Lamas;40.97913;-8.5721035;109427
Centro Infantil Nuclisol Jean Piaget;Rua D. Oliveira Cruz  ;5340 - 000 macedo de cavaleiros;Macedo de Cavaleiros;41.53679;-6.967478;405884
Centro Infantil O Miminho - Santa Casa da Misericórdia de Mirandela;Avenida Dr. Francisco Sá Carneiro  ;5370 - 209 mirandela;Mirandela;41.483673;-7.191691;407187
Centro Infantil Stª Cª Misericórdia de S.J. Madeira;Rua Camilo Castelo Branco - S. João da Madeira  ;3700 - 067 são joão da madeira;S. João da Madeira;40.89903;-8.487876;116188
Centro Infantil da Coxa - Santa Casa da Misericórdia de Bragança;Rua Padre António Vieira  ;5300 - 000 bragança;Sé;41.800262;-6.76867;402377
Centro Infantil da Escola António Correia de Oliveira;Rua de São João  ;4740 - 249 esposende;Esposende;41.535316;-8.783373;306594
Centro Infantil da Lixa;Vila Cova da Lixa  ;4615 - 523 vila cova da lixa;Vila Cova da Lixa;41.323696;-8.151496;1303098
Centro Infantil da Sagrada Família;R. de S. Geraldo, 69  ;4704 - 535 braga;Braga;41.546127;-8.425827;303464
Centro Infantil da Zona de Justino Teixeira;Largo Godim, nº 7  ;4300 - 279 porto;Campanhã;41.152565;-8.5908575;1312791
Centro Infantil de Borba de Godim;R. do Terreiro  ;4615 - 687 borba de godim;Vila da Lixa;41.323772;-8.144602;1303717
Centro Infantil de Bougado;Rua dos Defensores da Barca, 60  ;4785 - 000 trofa;Lugar de Finzes;41.344376;-8.563585;1314088
Centro Infantil de Espinho I;Av. João de Deus  ;4500 - 000 espinho;Marinha-Silvade;40.995388;-8.642663;107965
Centro Infantil de Espinho II;Rua 37 - Frente ao Hospital  ;4500 - 330 espinho;Espinho;41.001812;-8.636841;107007
Centro Infantil de Fiães;Rua Central , nº 952 / 966  ;4505 - 254 fiães vfr;Fiães;40.99247;-8.523824;109111
Centro Infantil de Golães;Lugar do Assento  ;4820 - 456 golães;Golães;41.465103;-8.195752;307306
Centro Infantil de Guifões;R. das Acacias, 35  ;4460 - 002 guifões;Guifões;41.19741;-8.669558;1308109
Centro Infantil de Lourosa;R. do Infantario, 295  ;4535 - 068 lourosa;Lourosa;40.98423;-8.537235;109420
Centro Infantil de Matosinhos;R. Dr. José Ventura, 104  ;4450 - 172 matosinhos;Matosinhos;41.18642;-8.687702;1308204
Centro Infantil de Pevidém;Rua Albano Coelho Lima, n.º 552  ;4835 - 302 guimarães;S. Jorge Selho;41.424496;-8.35308;308107
Centro Infantil de S. Roque;R. do Infantário, 501  ;3720 - 746 são roque;Vila Chã de S. Roque;40.877808;-8.470882;113712
Centro Infantil de Stª Mª da Feira;Quinta do Castelo  ;4520 - 306 fornos vfr;Feira;40.920677;-8.540714;109802
Centro Infantil de Stº Tirso;R. Comendador António Mª Lopes, 2  ;4780 - 424 santo tirso;Santo Tirso;41.340553;-8.478495;1314855
Centro Infantil de Valbom;Rua Dr. Joaquim M. Costa, 596  ;4420 - 435 valbom gdm;Valbom;41.14187;-8.558562;1304321
Centro Infanto-Juvenil António Freire Gomes;Rua António Carneiro - Apartado 143  ;4590 - 908 ferreira pfr;Freamunde;41.294758;-8.33792;1309815
Centro Latino Coelho;Rua Conde de Ferreira, nº 80  ;4300 - 195 porto;Porto;41.146732;-8.597086;1312196
Centro Paroquial Moreira de Cónegos;Av. Santa Marta, 9  ;4815 - 255 moreira de cónegos;Moreira de Cónegos;41.38235;-8.338907;308956
Centro Pastoral D. António Bento Martins Júnior;Rua de Santa Maria, nº 6  ;4810 - 443 guimarães;Guimarães;41.443413;-8.291967;308763
Centro Pró-Infância Espírito Santo;Lugar da Fonte Seca  ;4715 - 393 braga;Braga;41.53519;-8.403872;303133
Centro Social Cultural e Recreativo Abel Varzim;Largo Padre Abel Varzim  ;4755 - 176 cristelo bcl;Igreja;41.479202;-8.696979;302329
Centro Social Monsenhor Pires Quesado;Rua Drº Josué Trocado, n.º 4  ;4490 - 618 póvoa de varzim;PÓVOA DE VARZIM;41.38235;-8.757016;1313051
Centro Social Nossa Senhora de Lurdes;Bairro do Tronco  ;5450 - 146 bornes de aguiar;Pedras Salgadas;41.54131;-7.602831;1713339
Centro Social Padre Manuel Joaquim de Sousa;Rua Padre Silva Gonçalves  ;4800 - 357 caldas das taipas;Caldas das Taipas;41.489506;-8.347313;308112
Centro Social Paroquial Nª.Srª da Conceição;R. Nossa Senhora da Conceição,787  ;4800 - 167 guimarães;Azurém;41.448883;-8.303508;308898
Centro Social Paroquial Polvoreira;Rua da Escola, n.º 61 - Polvoreira  ;4835 - 162 guimarães;Polvoreira;41.40869;-8.296341;308698
Centro Social Paroquial de Alfena;Lugar da Igreja - Alfena  ;4445 - 066 alfena;Alfena;41.23558;-8.524893;1315836
Centro Social Paroquial de Celeirós;Av. São Lourenço  ;4700 - 000 braga;Celeirós;41.509594;-8.45288;303978
Centro Social Paroquial de Gilmonde;Rua Monsenhor Cirilo António de Figueiredo, n.º 125 - Gilmonde  ;4755 - 233 gilmonde;Gilmonde;41.50791;-8.664415;302854
Centro Social Paroquial de S. Cristovão de Selho;Rua do Campinho, n.º 600  ;4810 - 000 creixomil - salgueiral;Selho;41.4164;-8.347699;308462
Centro Social Paroquial de Sande São Martinho;Avenida Domingos de Freitas  ;4805 - 524 são martinho sande;SÃO MARTINHO;41.495274;-8.361438;308822
Centro Social Paroquial do Carvalhido;Praça do Exército Libertador, nº 53  ;4250 - 203 porto;Porto;41.167126;-8.625475;1312453
Centro Social Santo André do Sobrado - Valongo;Rua Padre Agostinho Freitas, n.º 88 - Sobrado  ;4440 - 397 sobrado;Sobrado;41.21028;-8.461635;1315741
Centro Social da Paróquia de Beiriz;Rua da Igreja, n.º 65 - Beiriz  ;4495 - 332 póvoa de varzim;Beiriz;41.397068;-8.722408;1313981
Centro Social da Paróquia de Joane;Av. Cristo Rei, 78  ;4770 - 203 joane;Joane;41.440807;-8.415311;312019
Centro Social da Paróquia de Landim;Av.  do Mosteiro, nº 124  ;4770 - 315 landim;Lugar do Mosteiro - Landim;41.38002;-8.464148;312074
Centro Social de Brito;Rua das Escolas Primárias, 21  ;4805 - 020 brito;Guimarães;41.451668;-8.362838;308917
Centro Social de Leça do Balio - Infantário Manso;Rua Central do Manso, n.º 131 - Leça do Balio  ;4465 - 545 leça do balio;Leça do Balio;41.226425;-8.638622;1308871
Centro Social de Leça do Balio - Infantário de Recarei;Rua de Recarei de Cima, n.º 125 Leça de Balio  ;4465 - 734 leça do balio;Leça do Balio;41.202293;-8.631317;1308039
Centro Social de S. Félix da Marinha;R. da Bela, nº 894  ;4410 - 208 são felix da marinha;São Félix da Marinha;41.026875;-8.630748;1317236
Centro Social do Bairro do Carriçal;R. das Berlengas, nº  90  ;4200 - 134 porto;Paranhos;41.179283;-8.610299;1312761
Centro Social do Bairro do Cerco;Rua do Cerco do Porto, nº43  ;4300 - 000 porto;Campanhã;41.158535;-8.571086;1312064
Centro Social e Cultural da Paróquia de Valbom;Rua Dr. Joaquim Manuel Costa, n.º 925 - Valbom  ;4420 - 435 valbom gdm;VALBOM;41.140396;-8.562427;1304273
Centro Social e Cultural de Barroselas;R. do Alambique Nº 191 - Apartado 18  ;4905 - 472 barroselas;Barroselas;41.64934;-8.702191;1609465
Centro Social e Cultural de Riba D´Ave;Rua Fernando Pessoa, 164  ;4765 - 247 riba de ave;Riba de Ave;41.393517;-8.390556;312904
Centro Social e Cultural de Stª Adrião;Rua do Cento Cultural Stº Adrião  ;4715 - 016 braga;Braga;41.537647;-8.410133;303982
Centro Social e Paroq. Carrazedo Montenegro (Stª Cª da Misericórdia de Valpaços);Rua de Santa Bárbara  ;5445 - 167 carrazedo de montenegro;Carrazedo Montenegro;41.5607;-7.4268866;1712194
Centro Social e Paroquial Padre António Mendonça - Roço;Quinta do Roço - Airães   ;4650 - 077 airães;AIRÃES;41.31877;-8.199538;1303533
Centro Social e Paroquial Padre Ângelo Ferreira Pinto;Largo da Igreja  ;4455 - 469 perafita;Perafita;41.225258;-8.697613;1308568
Centro Social e Paroquial da Carvalhosa - Jardim de Infância de S. Tiago;Largo Padre António Monteiro Soares,33  ;4590 - 018 carvalhosa;Carvalhosa;41.301067;-8.361395;1309370
Centro Social e Paroquial da Junqueira o Sonho;Rua Zeca Pinheiro, 65  ;4480 - 311 junqueira vcd;Vila do Conde;41.37983;-8.685385;1316675
Centro Social e Paroquial de Esmeriz;Rua da Igreja - Esmeriz  ;4760 - 480 esmeriz;ESMERIZ;41.3809;-8.51554;312123
Centro Social e Paroquial de Pencelo;Rua Engenheiro Duarte do Amaral  ;4800 - 121 guimarães;Assento;41.471214;-8.2982025;308338
Centro Social e Paroquial de Ribeirão;Av. 3 de Julho, 79 - Apartado 7107  ;4760 - 000 vila nova de famalicão;Vila de Ribeirão;41.355175;-8.55593;312198
Centro Social e Paroquial de Santo António de Corim;Rua Gil Vicente, 145  ;4435 - 038 rio tinto;Rio Tinto;41.195442;-8.573265;1304628
Centro Social e Paroquial de Stª Maria da Feira;R. do centro Paroquial  ;4520 - 159 santa maria da feira;Santa Maria da Feira;40.938778;-8.567418;109751
Centro Social e Paroquial de Terroso;Travessa de Santo António, n.º 50 - Terroso  ;4495 - 581 terroso;Terroso;41.41589;-8.736561;1313846
Centro Social e Paroquial do Mindelo;Rua Padre Joaquim Ferreira, n.º 55  Mindelo  ;4485 - 489 mindelo; Mindelo;41.313046;-8.718569;1316827
Centro Social e Paroquial do Santíssimo Sacramento;R. Monsenhor Fonseca Soares, 127  ;4150 - 335 porto;Massarelos;41.15813;-8.635147;1312742
Centro Social e Paroquial do Senhor do Socorro, Areosa - Jardim de Infância Bom Pastor;Avenida 2 de Fevereiro, n.º 76 - Areosa  ;4900 - 035 viana do castelo;Areosa;41.699196;-8.844665;1609593
Centro Social e Paroquial do Vale;Lugar da Igreja - Vale   ;4970 - 692 vale avv;Vale;41.839325;-8.371533;1601450
Centro Social, Cultural, Desportivo e Recreativo de Vila Nova de Sande;R. da Escola, n.º 237  ;4800 - 917 vila nova sande;Vila Nova Sande;41.464825;-8.349127;308977
Centro de Apoio Familiar Pinto de Carvalho;R. Padre Manuel José Oliveira, n.º 80  ;3720 - 297 oliveira de azeméis;Oliveira Azeméis;40.854774;-8.467378;113005
Centro de Apoio Social de Santiago;R. Abade Sousa Vieira n.º101  ;4785 - 571 trofa;Lugar da Lagoa;41.334496;-8.578869;1314376
Centro de Bem-Estar Infantil de Alvarães;R.Irmãs Missionárias do Espirito Santo  ;4905 - 205 alvarães;Alvarães;41.64918;-8.742607;1609142
Centro de Bem-Estar Infantil e Juvenil do Sagrado Coração Jesus;Rua de D. Dinis, nº 76  ;4250 - 425 porto;Porto;41.167435;-8.622174;1312236
Centro de Bem-Estar Soc. de Barqueiros;Estrada Medieval - Barqueiros  ;4740 - 682 barqueiros bcl;Barqueiros;41.46424;-8.72256;302587
Centro de Cultura Musical de Caldas da Saúde;Areias - Caldas da Saúde  ;4784 - 907 caldas da saúde;Caldas da Saúde;41.368412;-8.480056;1314955
Centro de Educação Integral;R. Adolfo Coutinho  ;3700 - 024 são joão da madeira;S. João da Madeira;40.891846;-8.482019;116520
Centro de Estudos e Trabalho da Pedra;R.Dr.Eduardo Santos Silva, 261 - Fracção A J  ;4200 - 283 porto;Porto;41.178528;-8.586942;1312034
Centro de Estudos e Trabalho da Pedra (Deleg.);Av. Miratâmega, Ed. TâmegaDouro II  ;4575 - 052 alpendurada e matos;Alpendurada e Matos;41.085686;-8.25176;1307463
Centro de Paralisia Cerebral;R. Delfim Maia, 276  ;4200 - 253 porto;Porto;41.173244;-8.609141;1312944
Centro de Promoção Social Rainha Stª Mafalda;Rua Dr. Figueiredo Sobrinho N12  ;4540 - 133 arouca;Arouca;40.930977;-8.245988;104404
Centro de Reabilitação Profissional de Gaia;Av. João Paulo II  ;4410 - 406 arcozelo vng;Arcozelo;41.061787;-8.632711;1317966
Centro de Solidariedade Social Santo António das Antas;R. António Sérgio, nº 180  ;4430 - 018 vila nova de gaia;Laborim de Baixo;41.102444;-8.608439;1317258
Centro de Solidariedade Social de Canêdo "O Jardim";Lg. Pe. Agostinho Pais Moreira, nº 30
  ;4525 - 016 canedo vfr;Canedo;41.00828;-8.462036;109012
Centro de Solidariedade Social de Valdosende;Rua 5, n.º 12 - Lugar do Assento  ;4845 - 040 valdosende;Lugar do Assento;41.658535;-8.212234;310909
Centro de Solidariedade da Imaculada Conceição;R. de S. Geraldo, 24  ;4700 - 041 braga;Braga;41.547226;-8.42627;303693
Colégio "Casa Mãe";Rua S. Miguel , 512 - Baltar  ;4585 - 017 baltar;Baltar;41.186287;-8.371239;1310973
Colégio "Casa Verde" - Centro Pedagógico e Cultural,Lda;R. José Monteiro de Castro Portugal, 1852  ;4405 - 568 vila nova de gaia;Valadares;41.093998;-8.6378355;1317050
Colégio "D. Diogo de Sousa";R. Conselheiro Bento Miguel  ;4710 - 294 braga;Braga;41.55746;-8.415959;303252
Colégio "Júlio Dinis";Rua Costa Cabral, nº 882  ;4200 - 213 porto;Porto;41.16729;-8.5935135;1312412
Colégio "La Salle";R. Irmãos de La Salle - Barcelinhos  ;4755 - 054 barcelos;Barcelinhos;41.52465;-8.612551;302294
Colégio "Luso Francês";R. do Amial, 442  ;4200 - 054 porto;Porto;41.176624;-8.613824;1312156
